COMMENT_ID,AUTHOR,DATE,CONTENT,CLASS
ID,AUTHOR,2020-12-11,No..but heard abt tat..,0
ID,AUTHOR,2020-12-11,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,1
ID,AUTHOR,2020-12-11,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.,0
ID,AUTHOR,2020-12-11,&lt;#&gt;  am I think? Should say on syllabus,0
ID,AUTHOR,2020-12-11,Umma. Did she say anything,0
ID,AUTHOR,2020-12-11,Give me a sec to think think about it,0
ID,AUTHOR,2020-12-11,Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout,1
ID,AUTHOR,2020-12-11,I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?,0
ID,AUTHOR,2020-12-11,Poyyarikatur.kolathupalayam.unjalur post.erode dis. &lt;#&gt; .,0
ID,AUTHOR,2020-12-11,Dear Hero.i am leaving to qatar tonite for an apt opportunity.pls do keep in touch at  &lt;EMAIL&gt; .kerala,0
ID,AUTHOR,2020-12-11,Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am,0
ID,AUTHOR,2020-12-11,I just got home babe. are you still awake ?,0
ID,AUTHOR,2020-12-11,I dunno they close oredi not... Ü v ma fan...,0
ID,AUTHOR,2020-12-11,Just buy a pizza. Meat lovers or supreme. U get to pick.,0
ID,AUTHOR,2020-12-11,Ya. told..she was asking wats matter?,0
ID,AUTHOR,2020-12-11,Dear.regret i cudnt pick call.drove down frm ctla now at cochin home.left mobile in car..ente style ishtamayoo?happy bakrid!,0
ID,AUTHOR,2020-12-11,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,1
ID,AUTHOR,2020-12-11,Shall i send that exe to your mail id.,0
ID,AUTHOR,2020-12-11,Nope watching tv at home... Not going out. V bored...,0
ID,AUTHOR,2020-12-11,Don know..wait i will check it.,0
ID,AUTHOR,2020-12-11,Good afternoon on this glorious anniversary day. my sweet J !! I hope this finds you happy and content. my Prey. I think of you and send a teasing kiss from across the sea coaxing images of fond souveniers ... You Cougar-Pen,0
ID,AUTHOR,2020-12-11,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394514 From Landline DATEBox1282EssexCM61XN 150p/min 18,1
ID,AUTHOR,2020-12-11,We still on for tonight?,0
ID,AUTHOR,2020-12-11,May i call You later Pls,0
ID,AUTHOR,2020-12-11,Hasn't that been the pattern recently crap weekends?,0
ID,AUTHOR,2020-12-11,I have a sore throat. It's scratches when I talk,0
ID,AUTHOR,2020-12-11,Yes da. Any plm at ur office,0
ID,AUTHOR,2020-12-11,Are you not around or just still asleep? :V,0
ID,AUTHOR,2020-12-11,Lol you forgot it eh ? Yes. I'll bring it in babe,0
ID,AUTHOR,2020-12-11,Its good. we'll find a way,0
ID,AUTHOR,2020-12-11,Can not use foreign stamps in this country. Good lecture .,0
ID,AUTHOR,2020-12-11,Yup bathe liao...,0
ID,AUTHOR,2020-12-11,HAPPY NEW YEAR MY NO.1 MAN,0
ID,AUTHOR,2020-12-11,OH MR SHEFFIELD! You wanna play THAT game. okay. You're the boss and I'm the nanny. You give me a raise and I'll give YOU one!!,0
ID,AUTHOR,2020-12-11,ZOE IT JUST HIT ME 2 IM FUCKING SHITIN MYSELF IL DEFO TRY MY HARDEST 2 CUM 2MOROW LUV U MILLIONS LEKDOG,0
ID,AUTHOR,2020-12-11,Hello baby. did you get back to your mom's ? Are you setting up the computer now ? Filling your belly ? How goes it loverboy ? I miss you already ... *sighs*,0
ID,AUTHOR,2020-12-11,No my blankets are sufficient. thx,0
ID,AUTHOR,2020-12-11,naughty little thought: 'its better to flirt. flirt n flirt. rather than loving someone n gettin hurt. hurt n hurt...:-) Gud nyt,0
ID,AUTHOR,2020-12-11,Edison has rightly said. "A fool can ask more questions than a wise man can answer" Now you know why all of us are speechless during ViVa.. GM.GN.GE.GNT:-),0
